"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_puerperio","internacoes_motivo_intercorrencia_gravidez","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_aborto_legal","internacoes_parto_acompanhante"
701,261160,2018,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",2931,403,2447,28,53,2925,0,5,1,0,0,360,0,2182
701,261160,2019,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3053,409,2557,42,45,3045,0,8,0,0,24,358,0,2150
701,261160,2020,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3753,385,3252,37,79,3737,0,16,0,0,80,296,5,2868
701,261160,2021,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3539,378,3005,37,119,3474,0,65,0,0,55,320,4,2799
701,261160,2022,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3594,383,3017,31,163,3487,26,81,0,0,61,320,6,2847
701,261160,2023,"menos_50","publico","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",3524,267,3110,43,104,3451,19,54,0,0,45,210,1,2847
1120,261160,2018,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2019,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2020,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2021,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2022,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120,261160,2023,"50_mais","privado","Recife","Pernambuco","Nordeste",26010,"Recife",26010,"METROPOLITANA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,280030,2018,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",11644,767,10665,137,75,11613,26,5,0,0,0,720,2,10568
2232,280030,2019,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",12161,920,11041,148,52,12138,21,1,1,0,0,855,0,10956
2232,280030,2020,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",10977,560,10206,123,88,10930,38,7,2,0,0,505,1,10175
2232,280030,2021,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",10942,684,10082,81,95,10897,31,9,5,0,0,615,0,10031
2232,280030,2022,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",9373,674,8517,76,106,9336,29,6,2,0,0,608,2,8472
2232,280030,2023,"50_mais","misto","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",6385,502,5731,80,72,6364,13,4,4,0,0,443,2,5693
2593,280030,2018,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2019,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2020,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2593,280030,2021,"50_mais","privado","Aracaju","Sergipe","Nordeste",28001,"Aracaju",28001,"MACRO UNICA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
