"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_gravidez","internacoes_motivo_intercorrencia_puerperio","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_parto_acompanhante","internacoes_aborto_legal"
3859,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3934,451,3121,1086,66,3896,13,24,1,0,3,363,0,0
3859,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3444,388,2649,1098,62,3404,15,20,4,1,9,317,0,0
3859,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3466,353,2690,1108,52,3403,26,32,5,0,25,270,0,0
3859,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4041,320,3048,1507,73,3973,21,39,8,0,17,253,0,0
3859,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3022,272,2391,1027,28,2962,19,32,9,0,41,197,0,0
3859,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",2791,219,2156,1036,40,2706,31,52,2,0,71,116,0,0
3972,292740,2018,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",263,43,200,23,3,258,0,5,0,0,0,43,0,0
3972,292740,2019,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1398,232,1088,102,11,1368,0,30,0,0,0,228,0,0
3972,292740,2020,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1329,250,987,115,10,1289,0,40,0,0,0,247,0,0
3972,292740,2021,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",638,129,469,56,8,617,0,21,0,0,0,126,0,0
3972,292740,2022,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4081,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1083,224,724,151,19,1071,0,10,2,0,0,223,0,0
4081,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1659,214,1351,226,17,1646,0,13,0,0,10,187,0,0
4081,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4413,471,3734,824,55,4390,4,16,3,0,173,271,0,0
4081,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4854,539,3942,936,79,4811,17,25,1,0,345,166,0,2
4170,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5543,996,4141,1409,83,5469,41,33,0,0,82,898,0,0
4170,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5215,1048,3669,1194,118,5134,39,42,0,0,276,763,0,0
4170,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4815,704,3697,1394,69,4723,44,45,3,0,167,525,0,0
4170,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5947,773,4502,1791,98,5815,50,81,1,0,241,517,0,0
4170,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5698,860,4126,1491,108,5554,55,84,5,0,354,519,0,2
4170,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4132,640,2899,1193,85,4015,57,49,11,0,318,344,0,0
4251,292740,2018,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4251,292740,2019,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4251,292740,2020,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4251,292740,2021,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4251,292740,2022,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,0,0,0,1,0,0,0,0,1,0,0,0
4251,292740,2023,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4731,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1668,339,1060,567,28,1616,35,17,0,0,113,192,0,0
4731,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1737,378,999,644,42,1692,24,21,0,0,237,98,0,1
4731,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1307,287,783,436,32,1253,25,29,0,0,208,67,0,0
4731,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1487,356,884,449,36,1432,42,13,0,0,225,101,0,0
4731,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",2436,341,1582,819,78,2351,71,14,0,0,241,94,0,0
4731,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",2889,372,1751,1089,197,2653,220,15,1,0,294,82,0,0
7641,150240,2018,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1110,20,1084,260,5,1109,0,1,0,0,0,16,0,0
7641,150240,2019,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1189,10,1175,197,4,1189,0,0,0,0,0,10,0,0
7641,150240,2020,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1803,37,1755,262,8,1802,1,0,0,0,0,29,0,0
7641,150240,2021,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1400,17,1375,141,6,1395,5,0,0,0,0,17,0,0
7641,150240,2022,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1813,13,1787,131,11,1809,4,0,0,0,0,11,0,0
7641,150240,2023,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1683,7,1661,138,15,1679,4,0,0,0,0,3,0,0
7684,150240,2018,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",3667,220,3308,481,29,3655,0,12,0,0,0,203,0,0
7684,150240,2019,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",4260,288,3836,707,36,4253,0,6,1,0,0,278,0,0
7684,150240,2020,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",5293,395,4685,1002,51,5280,0,10,3,0,0,364,0,0
7684,150240,2021,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",4857,348,4389,808,42,4849,0,6,2,0,0,322,0,0
