"cnes","codmunocor","ano","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","obitos_maternos_totais","obitos_maternos_diretos","obitos_maternos_aborto","obitos_maternos_hipertensao","obitos_maternos_hemorragia","obitos_maternos_infec_puerperal"
3794,292740,2022,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3794,292740,2023,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3840,292740,2018,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3840,292740,2019,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,0,0,1,0
3840,292740,2020,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3,0,0,0,0,0
3840,292740,2021,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,0,0,1,0
3840,292740,2022,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,0,0,0,0
3840,292740,2023,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,0,1,0,0
3859,292740,2018,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6,1,0,1,0,0
3859,292740,2019,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6,3,0,2,0,0
3859,292740,2020,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",12,6,0,3,1,0
3859,292740,2021,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6,1,0,0,1,0
3859,292740,2022,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",6,3,0,1,0,0
3859,292740,2023,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",8,3,0,0,1,0
3972,292740,2018,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3972,292740,2019,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3972,292740,2020,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3972,292740,2021,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
3972,292740,2022,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4081,292740,2018,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4081,292740,2021,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4081,292740,2022,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,0,0,0,0,0
4081,292740,2023,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4170,292740,2018,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4170,292740,2019,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4170,292740,2020,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,0,0,0,0
4170,292740,2021,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,1,0,0,0
4170,292740,2022,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4170,292740,2023,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4251,292740,2018,"privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4251,292740,2019,"privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",3,2,0,0,1,0
4251,292740,2020,"privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4251,292740,2021,"privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4,1,0,1,0,0
4251,292740,2022,"privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4251,292740,2023,"privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4731,292740,2018,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4731,292740,2019,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4731,292740,2020,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4731,292740,2021,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4731,292740,2022,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
4731,292740,2023,"publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0
7641,150240,2018,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",0,0,0,0,0,0
7641,150240,2019,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",0,0,0,0,0,0
7641,150240,2020,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",0,0,0,0,0,0
7641,150240,2021,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",0,0,0,0,0,0
7641,150240,2022,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",0,0,0,0,0,0
7641,150240,2023,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",0,0,0,0,0,0
7684,150240,2018,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1,0,0,0,0,0
7684,150240,2019,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1,1,0,0,1,0
7684,150240,2020,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",3,2,0,2,0,0
7684,150240,2021,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",3,2,0,1,0,0
7684,150240,2022,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1,0,0,0,0,0
7684,150240,2023,"misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",3,3,0,0,1,0
8036,353440,2018,"publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",1,1,0,1,0,0
8036,353440,2019,"publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",1,1,0,1,0,0
8036,353440,2020,"publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",1,0,0,0,0,0
8036,353440,2021,"publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",2,2,1,1,0,0
8036,353440,2022,"publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",0,0,0,0,0,0
8036,353440,2023,"publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",2,1,0,0,0,0
9539,354990,2018,"misto","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0
9539,354990,2019,"privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0
9539,354990,2020,"privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0
9539,354990,2021,"privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0
9539,354990,2022,"privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0
9539,354990,2023,"privado","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",0,0,0,0,0,0
9628,354990,2018,"publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",1,1,0,0,0,0
9628,354990,2019,"publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",3,3,0,0,0,0
9628,354990,2020,"publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",2,1,0,0,0,0
9628,354990,2021,"publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",3,0,0,0,0,0
9628,354990,2022,"publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",2,1,0,0,1,0
9628,354990,2023,"publico","São José dos Campos","São Paulo","Sudeste",35171,"Alto Vale Do Paraiba",35171,"RRAS17",2,2,0,0,1,0
9709,500270,2018,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
9709,500270,2019,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",1,0,0,0,0,0
9709,500270,2020,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",3,1,0,0,0,1
9709,500270,2021,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",1,0,0,0,0,0
9709,500270,2022,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",2,1,0,0,0,0
9709,500270,2023,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",2,2,0,0,0,1
9717,500270,2018,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",3,2,0,0,1,1
9717,500270,2019,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",2,2,0,0,1,0
9717,500270,2020,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",2,2,0,1,1,0
9717,500270,2021,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",4,3,0,1,1,1
9717,500270,2022,"misto","Campo Grande","Mato Grosso do Sul","Centro-Oeste",50011,"Centro",50011,"CENTRO",0,0,0,0,0,0
